time_s,kp,desired_deg,actual_deg,error_deg,correction_deg,commanded_deg
0.0007090130020515062,0.0,0.9257498387695361,0.9230769230769231,0.002672915692612965,0.0,0.9257498387695361
0.050917906999529805,0.0,1.1149019550839723,0.9230769230769231,0.19182503200704915,0.0,1.1149019550839723
0.10122995100391563,0.0,1.3036764162734102,0.9230769230769231,0.3805994931964871,0.0,1.3036764162734102
0.1515183960000286,0.0,1.4908426665355696,0.9230769230769231,0.5677657434586465,0.0,1.4908426665355696
0.20176442500087433,0.0,1.6755874947488816,0.9230769230769231,0.7525105716719585,0.0,1.6755874947488816
0.2520554670045385,0.0,1.8574944739911765,1.010989010989011,0.8465054630021656,0.0,1.8574944739911765
0.3022787390000303,0.0,2.035433420795033,1.3626373626373627,0.6727960581576702,0.0,2.035433420795033
0.35280151500046486,0.0,2.20996315967912,1.4505494505494505,0.7594137091296693,0.0,2.20996315967912
0.40297086700593354,0.0,2.3781424022538555,1.5384615384615385,0.839680863792317,0.0,2.3781424022538555
0.45338106300187064,0.0,2.5413048296448197,1.8021978021978022,0.7391070274470175,0.0,2.5413048296448197
0.5035974780039396,0.0,2.697386651891967,1.978021978021978,0.7193646738699888,0.0,2.697386651891967
0.5539325819991063,0.0,2.8467487278568537,2.065934065934066,0.7808146619227876,0.0,2.8467487278568537
0.6041319740033941,0.0,2.9880457777444516,2.065934065934066,0.9221117118103854,0.0,2.9880457777444516
0.6544268080033362,0.0,3.121373091584312,2.32967032967033,0.791702761913982,0.0,3.121373091584312
0.7048126330046216,0.0,3.246139218953652,2.5054945054945055,0.7406447134591465,0.0,3.246139218953652
0.7550730450020637,0.0,3.3613198634294816,2.857142857142857,0.5041770062866244,0.0,3.3613198634294816
0.8054619310059934,0.0,3.467034155629432,2.9450549450549453,0.5219792105744867,0.0,3.467034155629432
0.8558953940009815,0.0,3.562631752091095,2.9450549450549453,0.6175768070361496,0.0,3.562631752091095
0.9061005590046989,0.0,3.64727053229203,2.9450549450549453,0.7022155872370845,0.0,3.64727053229203
0.9565668979994371,0.0,3.721424823151164,3.120879120879121,0.6005457022720431,0.0,3.721424823151164
1.0067834010042134,0.0,3.784045152389221,3.208791208791209,0.5752539435980122,0.0,3.784045152389221
1.056964154005982,0.0,3.835244216653739,3.208791208791209,0.6264530078625299,0.0,3.835244216653739
1.1071831939989352,0.0,3.8748928375786207,3.208791208791209,0.6661016287874117,0.0,3.8748928375786207
1.1575176129990723,0.0,3.9028402003050875,3.4725274725274726,0.43031272777761487,0.0,3.9028402003050875
1.2078964070024085,0.0,3.918878869369757,3.5604395604395602,0.3584393089301967,0.0,3.918878869369757
1.2580960400009644,0.0,3.922921665597345,3.5604395604395602,0.3624821051577847,0.0,3.922921665597345
1.3089153750042897,0.0,3.914858851889993,3.5604395604395602,0.3544192914504327,0.0,3.914858851889993
1.3592154250000021,0.0,3.894867309033433,3.5604395604395602,0.3344277485938729,0.0,3.894867309033433
1.409698406001553,0.0,3.862868935880125,3.5604395604395602,0.3024293754405649,0.0,3.862868935880125
