kp,rms_error_deg,mean_absolute_error_deg,maximum_absolute_error_deg,samples
0.0,0.63731114839451,0.5906637918753812,1.0407603026871886,397
0.5,0.4365281374380089,0.40462030716452607,0.8207523130682702,396
1.0,0.33143195469758907,0.2978717449014095,0.6375770886749927,397
1.5,0.26415988115109895,0.227068294266886,0.5636912678513194,397
1.75,0.24176661598465987,0.20169011048548025,0.558368608261395,397
2.0,0.22207243791779413,0.1764234066477059,0.5587542930751839,397
2.25,1.1524955605967382,0.9905911415867974,2.1017717162583986,396
