time_s,desired_deg,actual_deg,error_deg,commanded_deg
0.00028832699899794534,0.8362518023193131,0.8351648351648352,0.0010869671544778692,0.8384257366282688
0.050813116999052,1.0265956249286434,0.8351648351648352,0.19143078976380823,1.4094572044562599
0.1013072519999696,1.2160533897402532,0.8351648351648352,0.38088855457541804,1.9778304988910893
0.15198399200016866,1.4046540158042016,1.098901098901099,0.3057529169031026,2.016159849610407
0.20272286600084044,1.5911725801779943,1.5384615384615385,0.0527110417164558,1.696594663610906
0.2535112690020469,1.7747960519429333,1.5384615384615385,0.23633451348139478,2.247465078905723
0.3040670370028238,1.9537796834805619,1.5384615384615385,0.4153181450190233,2.7844159735186085
0.35468996700365096,2.12847846266063,1.978021978021978,0.15045648463865202,2.429391431937934
0.40549259800172877,2.298536624846144,2.241758241758242,0.056778383087902284,2.4120933910219486
0.4567252510023536,2.4639943118905965,2.1538461538461537,0.31014815804444273,3.084290627979482
0.507684992000577,2.621876628795663,2.241758241758242,0.3801183870374212,3.3821134028705053
0.5582968320013606,2.7714327927878926,2.769230769230769,0.0022020235571234004,2.7758368399021394
0.6091721490010968,2.913875596702502,2.857142857142857,0.05673273955964486,3.027341075821792
0.6595146469990141,3.0464680938873996,2.857142857142857,0.18932523674454238,3.4251185673764843
0.7102016380013083,3.1710288090955734,2.857142857142857,0.3138859519527162,3.7988007130010057
0.7608260909983073,3.2859799961258864,3.208791208791209,0.07718878733467749,3.4403575707952414
0.8114620819978882,3.3910386900411704,3.208791208791209,0.18224748124996148,3.7555336525410934
0.8619228360039415,3.485442879813328,3.208791208791209,0.27665167102211896,4.038746221857566
0.9125557029983611,3.5694610744770316,3.4725274725274726,0.09693360194955902,3.7633282783761497
0.9632961410025018,3.6425564356535136,3.6483516483516483,-0.005795212698134655,3.6309660102572443
1.0139089840013185,3.7041012512807923,3.5604395604395602,0.14366169084123204,3.9914246329632563
1.0647583680038224,3.754250364626815,3.5604395604395602,0.1938108041872546,4.141871973001324
1.1153135490021668,3.7922979609676646,3.5604395604395602,0.23185840052810436,4.256014762023874
1.1658931519996258,3.8184242982984915,3.5604395604395602,0.2579847378589313,4.334393774016354
1.2167400210018968,3.832544892992083,3.7362637362637363,0.09628115672834658,4.0251072064487765
1.2675185970001621,3.8344379060027487,3.912087912087912,-0.07765000608516326,3.679137893832422
