time_s,desired_deg,actual_deg,error_deg
0.0003939380039810203,3.4732700281634563,3.4725274725274726,0.0007425556359836882
0.05076269600249361,3.568196677589196,3.4725274725274726,0.09566920506172316
0.10136035399773391,3.6634581089930296,3.4725274725274726,0.19093063646555697
0.15185386100347387,3.7583311573598914,3.4725274725274726,0.2858036848324188
0.20232542900339467,3.852875536857635,3.4725274725274726,0.3803480643301622
0.25277604599978076,3.946998451051443,3.4725274725274726,0.47447097852397047
0.3030934749986045,4.040398129651494,3.4725274725274726,0.5678706571240211
0.3536239629975171,4.1336219909264695,3.4725274725274726,0.6610945183989969
0.4040604230031022,4.226007959415666,3.5604395604395602,0.6655683989761059
0.454390692000743,4.317445235263113,3.7362637362637363,0.5811814989993769
0.5047803220004425,4.408143941018988,4.0,0.408143941018988
0.5551374080023379,4.4978472111785095,4.0,0.4978472111785095
0.6055193709980813,4.586567650322281,4.087912087912088,0.4986555624101934
0.6556958669971209,4.673816925911614,4.087912087912088,0.585904837999526
0.7059206429985352,4.759954490391497,4.087912087912088,0.6720424024794092
0.7562223619970609,4.84493904122874,4.087912087912088,0.757026953316652
0.8065110789975733,4.928531365444723,4.087912087912088,0.8406192775326353
0.856877751997672,5.010796306730298,4.175824175824176,0.834972130906122
0.9070105670034536,5.09114968865791,4.527472527472527,0.5636771611853826
0.9575649539983715,5.170552353150304,4.615384615384615,0.5551677377656894
1.0078529620004701,5.2478371772014025,4.615384615384615,0.6324525618167876
1.0582768860040233,5.323551366341172,4.615384615384615,0.7081667509565568
1.1087552730023162,5.3974864548452555,4.8791208791208796,0.5183655757243759
1.1591597020014888,5.469381282011846,4.967032967032967,0.502348314978879
1.2095080599974608,5.539196838923168,5.054945054945055,0.4842517839781131
1.2599874250008725,5.607117848955182,5.142857142857143,0.46426070609803904
1.3106256620012573,5.673095240876521,5.142857142857143,0.5302380980193782
1.361000987002626,5.736520023663258,5.142857142857143,0.5936628808061144
1.4113657170018996,5.797664232897734,5.142857142857143,0.6548070900405909
1.4618014720035717,5.856561487853586,5.142857142857143,0.7137043449964429
1.5120380360021954,5.912846434300601,5.142857142857143,0.7699892914434576
1.5626518619974377,5.967095331792953,5.406593406593407,0.5605019251995458
1.6132014120012172,6.018757513929371,5.4945054945054945,0.5242520194238764
